"Issue Type","Component","Label","Status**","Parent ID","Epic Name","Transaction**","Steps**","Summary","Description","Priority","Region","Market","Acceptance Criteria","Story Point"
"Task","Architecture","path-selection,spike","To Do","STORY-PATH-KEY","Customer PO Status Excel MVP","create","","Capture Databricks access prerequisites","Request workspace, SQL endpoint, auth model, and required network/security details.","High","NA","USA","Prerequisite checklist complete with owners and expected completion dates.",""
"Task","Architecture","path-selection,spike","To Do","STORY-PATH-KEY","Customer PO Status Excel MVP","create","","Capture SAP interface prerequisites","Request endpoint details, auth model, payload contract, and environment availability.","High","NA","USA","Prerequisite checklist complete with owners and expected completion dates.",""
"Task","Architecture","path-selection,spike","To Do","STORY-PATH-KEY","Customer PO Status Excel MVP","create","","Run effort/risk comparison and recommendation","Compare effort, lead time, data quality risk, and operational complexity.","High","NA","USA","One-page recommendation delivered with clear primary path and fallback path.",""
"Task","Backend","filtering,subscriptions","To Do","STORY-FILTER-KEY","Customer PO Status Excel MVP","create","","Extend subscription schema with source filter keys","Add or validate fields required to scope data by customer and market.","Medium","NA","USA","Subscription schema supports source-specific customer keys; defaults/backward compatibility preserved.",""
"Task","Backend","filtering,subscriptions","To Do","STORY-FILTER-KEY","Customer PO Status Excel MVP","create","","Enforce filtering in report data service","Apply subscription filters before report generation and delivery.","High","NA","USA","Only matching rows delivered per subscription; tests cover positive and negative cases.",""
"Task","Platform","ops,reliability","To Do","STORY-OPS-KEY","Customer PO Status Excel MVP","create","","Add structured run logging and delivery metrics","Record run-level and subscription-level outcomes for support and troubleshooting.","High","NA","USA","Logs include run timestamp, subscription id, row count, result, and error reason.",""
"Task","Platform","ops,reliability","To Do","STORY-OPS-KEY","Customer PO Status Excel MVP","create","","Implement retry and failure handling rules","Add configurable retries and clear terminal failure behavior for delivery pipeline.","High","NA","USA","Retries follow config; failures stop cleanly; no duplicate deliveries after success.",""
"Task","QA","testing,uat","To Do","STORY-QA-KEY","Customer PO Status Excel MVP","create","","Build mapping and delivery automated tests","Create test coverage for mapping, filtering, report generation, and dry-run delivery.","High","NA","USA","Core automated tests pass; edge cases documented and repeatable.",""
"Task","QA","testing,uat","To Do","STORY-QA-KEY","Customer PO Status Excel MVP","create","","Execute UAT reconciliation with business","Compare report output to known source records for pilot customers.","High","NA","USA","UAT checklist complete; mismatches resolved or accepted with documented rationale.",""
"Task","Data","adapter,databricks","To Do","STORY-DBX-KEY","Customer PO Status Excel MVP","create","","Set up Databricks connectivity and credentials","Configure secure auth, endpoint settings, and runtime connectivity checks.","High","NA","USA","Connection test passes from app runtime; secrets stored securely; no hardcoded credentials.",""
"Task","Data","adapter,databricks","To Do","STORY-DBX-KEY","Customer PO Status Excel MVP","create","","Build Databricks query and mapping logic","Implement query and transformation logic into canonical report row shape.","High","NA","USA","Query returns required fields; mapper fills all columns; null or invalid values handled gracefully.",""
"Task","Data","adapter,databricks","To Do","STORY-DBX-KEY","Customer PO Status Excel MVP","create","","Add Databricks adapter monitoring and timeout handling","Add defensive behavior for query timeout, retry, and freshness telemetry.","Medium","NA","USA","Timeout and retry behavior tested; freshness and latency logged per run.",""
"Task","Data","adapter,sap","To Do","STORY-SAP-KEY","Customer PO Status Excel MVP","create","","Set up SAP interface access and auth","Coordinate endpoint, credentials, and connectivity from app runtime to SAP interface.","High","NA","USA","Connectivity test succeeds; auth approved by IT security; failures logged clearly.",""
"Task","Data","adapter,sap","To Do","STORY-SAP-KEY","Customer PO Status Excel MVP","create","","Build SAP response mapper to report schema","Transform SAP payload fields to canonical report row fields used by report generator.","High","NA","USA","Field mapping document exists; mapper covers required fields; sample payloads validated.",""
"Task","Data","adapter,sap","To Do","STORY-SAP-KEY","Customer PO Status Excel MVP","create","","Add SAP adapter retry and error classification","Implement resilient calling pattern and classify common SAP integration failures.","Medium","NA","USA","Retry and backoff implemented; auth, network, and schema failures classified for support triage.",""
"Task","Release","go-live,cutover","To Do","STORY-GO-KEY","Customer PO Status Excel MVP","create","","Prepare cutover plan and rollback checklist","Document deployment sequence, smoke checks, and rollback path for selected source.","High","NA","USA","Cutover checklist approved; rollback steps tested in non-production.",""
"Task","Release","go-live,cutover","To Do","STORY-GO-KEY","Customer PO Status Excel MVP","create","","Enable production run for pilot subscriptions","Activate selected source path and monitor first production cycles.","High","NA","USA","First 5 daily runs complete with acceptable quality and no Sev1 incidents.",""
